,Date,CPI Price,CPI Change%,DXY Price ($),DXY Change%,sp500 Close Price ($),sp500 Change %,Gold Price ($),Gold Change %
0,1/03/2001,176.2,0.002275313,111.28,-0.65%,1241.22998,-0.096281676,266.35,-0.004857089
1,1/05/2001,177.7,0.004522329,115.3,-0.47%,1266.439941,0.091448113,264,-0.008822977
2,1/06/2001,178,0.001688239,118.89,-0.15%,1260.670044,-0.004555998,265.4,0.00530303
3,1/08/2001,177.5,0,116.56,-0.53%,1215.930054,-0.006901412,267.35,0.0073474
4,1/10/2001,177.7,-0.003365115,113,-0.42%,1038.550049,-0.083831676,290.6,0.086964653
5,1/11/2001,177.4,-0.001688239,114.46,-0.35%,1084.099976,0.043859154,280.6,-0.034411562
6,1/02/2002,177.8,0.003952569,119.79,-0.37%,1122.199951,-0.022541988,283.9,0.02676311
7,1/03/2002,178.8,0.005624297,119.4,0.20%,1131.780029,0.008536873,295.4,0.040507221
8,1/04/2002,179.8,0.005592841,117.77,-0.72%,1146.540039,0.013041412,301.4,0.020311442
9,1/05/2002,179.8,0,114.54,-0.56%,1086.459961,-0.052401204,308.35,0.023059058
10,1/07/2002,180.1,0.001111729,106.51,0.38%,968.6500244,-0.092293409,312.1,0.012161505
11,1/08/2002,180.7,0.003331483,107.02,-0.36%,884.6599731,-0.086708356,302.25,-0.031560397
12,1/10/2002,181.3,0.001657459,107.07,0.19%,847.9099731,-0.074404831,321.75,0.064516129
13,1/11/2002,181.3,0,106.08,-0.53%,900.960022,0.062565662,319.85,-0.005905206
14,1/04/2003,183.8,-0.002171553,99.15,0.09%,858.4799805,0.020602693,334.35,-0.037010369
15,1/05/2003,183.5,-0.001632209,96.7,-0.50%,916.2999878,0.067351608,341.2,0.020487513
16,1/07/2003,183.9,0.001088732,94.3,-0.45%,982.3200073,0.019437707,350.2,0.026377491
17,1/08/2003,184.6,0.003806417,96.66,-0.24%,980.1500244,-0.002209039,352.35,0.006139349
18,1/09/2003,185.2,0.003250271,98,-0.10%,1008.01001,0.028424205,376.25,0.067830282
19,1/10/2003,185,-0.001079914,92.39,-0.50%,1018.219971,0.010128829,383.5,0.019269103
20,1/12/2003,184.3,-0.001084011,90.35,0.16%,1070.119995,0.018473256,400.25,0.043676662
21,1/03/2004,187.4,0.006444683,87.52,0.24%,1155.969971,0.02196031,400,-0.039039039
22,1/04/2004,188,0.003201708,87.21,-0.46%,1132.170044,-0.020588707,427.25,0.068125
23,1/06/2004,189.7,0.003172924,88.88,-0.08%,1121.199951,0.012552968,397.2,-0.070333528
24,1/07/2004,189.4,-0.001581444,88.79,-0.01%,1128.939941,0.006903309,394.8,-0.006042296
25,1/09/2004,189.9,0.002110818,88.87,-0.08%,1105.910034,0.003803202,407.65,0.032548126
26,1/10/2004,190.9,0.005265929,87.63,0.31%,1131.5,0.023139284,418.1,0.025634736
27,1/11/2004,191,0.000523834,85.2,0.34%,1130.51001,-0.000874936,428.85,0.025711552
28,1/12/2004,190.3,-0.003664921,81.56,-0.32%,1191.369995,0.053834097,452.85,0.055963624
29,1/02/2005,191.8,0.005768222,83.45,-0.18%,1189.410034,-0.018573841,420.9,-0.070553163
30,1/03/2005,193.3,0.007820647,82.77,0.32%,1210.410034,0.017655812,433.45,0.029817059
31,1/04/2005,194.6,0.006725297,84.43,0.44%,1172.920044,-0.030972967,427.15,-0.014534548
32,1/06/2005,194.5,0.000514403,88.11,0.40%,1202.219971,0.039218564,415.35,-0.027624956
33,1/07/2005,195.4,0.004627249,90.13,1.14%,1194.439941,-0.006471386,432.6,0.041531239
34,1/08/2005,196.4,0.005117707,88.8,-0.62%,1235.349976,0.03425039,431.65,-0.002196024
35,1/09/2005,198.8,0.012219959,86.55,-1.18%,1221.589966,-0.011138552,439.6,0.0184177
36,1/11/2005,197.6,-0.008032129,90.08,0.01%,1202.76001,-0.02119941,459.5,0.045268426
37,1/12/2005,196.8,-0.004048583,91.82,0.27%,1264.670044,0.051473306,499.75,0.087595212
38,1/02/2006,198.7,0.002017146,89.51,0.62%,1282.459961,0.027373383,568.25,0.137068534
39,1/03/2006,199.8,0.005535984,90.22,0.12%,1291.23999,0.00684624,564.25,-0.007039155
40,1/05/2006,202.5,0.004962779,85.97,-0.16%,1305.189941,0.007969871,644,0.141338059
41,1/06/2006,202.9,0.001975309,84.79,0.08%,1285.709961,-0.014925016,625,-0.029503106
42,1/08/2006,203.9,0.001965602,85.05,-0.29%,1270.920044,0.000566913,637.25,0.0196
43,1/09/2006,202.9,-0.004904365,84.94,-0.13%,1311.01001,0.03154405,621.05,-0.025421734
44,1/11/2006,201.5,-0.00148662,85.32,0.00%,1367.810059,0.023924904,614.1,-0.011190725
45,1/12/2006,201.8,0.001488834,82.48,-0.53%,1396.709961,0.021128593,648.75,0.056424035
46,1/02/2007,203.499,0.005350368,84.63,0.02%,1445.939941,0.019488043,660.2,0.044620253
47,1/03/2007,205.352,0.009105696,83.68,0.13%,1403.170044,-0.029579304,670.4,0.015449864
48,1/05/2007,207.949,0.006110719,81.59,0.17%,1486.300049,0.046056659,673.6,0.00477327
49,1/06/2007,208.352,0.001937975,82.32,0.02%,1536.339966,0.03366744,666.5,-0.01054038
50,1/08/2007,207.917,-0.001833902,80.87,0.12%,1465.810059,-0.024970844,665.75,-0.001125281
51,1/10/2007,208.936,0.002139191,77.9,0.23%,1547.040039,0.049559393,742.5,0.115283515
52,1/11/2007,210.177,0.005939618,76.59,0.14%,1508.439941,-0.024950936,790.25,0.064309764
53,1/02/2008,211.693,0.002904112,75.44,0.35%,1395.420044,-0.049674427,914.75,0.097151424
54,1/04/2008,214.823,0.006064778,72.56,1.06%,1370.180054,0.029722799,887.75,-0.029516261
55,1/05/2008,216.632,0.008420886,73.28,1.06%,1409.339966,0.028580121,853,-0.039143903
56,1/07/2008,219.964,0.005251011,72.37,-0.12%,1284.910034,-0.082456169,937.5,0.099062134
57,1/08/2008,219.086,-0.003991562,73.42,0.26%,1260.310059,-0.01914529,912.5,-0.026666667
58,1/10/2008,216.573,-0.010101333,79.46,0.01%,1161.060059,-0.094922867,880,0.070234114
59,1/12/2008,210.228,-0.010342474,86.72,0.23%,816.210022,-0.157460622,778,-0.115909091
60,1/01/2009,211.143,0.004352417,81.1,-0.06%,903.25,0.106639193,869.75,0.117930591
61,1/04/2009,213.24,0.002496368,85.42,-0.11%,811.0800171,0.10337508,924.5,0.062949123
62,1/05/2009,213.856,0.002888764,84.54,-0.33%,877.5200195,0.081915472,884.5,-0.043266631
63,1/06/2009,215.693,0.008589892,79.18,-0.06%,942.8699951,0.074471208,981.75,0.109949124
